Year,Team,Conf,AdjEM,AdjO,AdjD,AdjT,SOSEM,SOSO,SOSD
2008,North Texas,SB,+3.11,105.9,102.8,68.0,-3.74,102.8,106.6
2008,Brown,Ivy,+3.07,108.9,105.8,61.1,-4.49,102.1,106.6
2008,Niagara,MAAC,+2.92,106.7,103.7,69.9,-2.32,102.8,105.1
2008,North Dakota St.,Sum,+2.88,107.0,104.1,67.0,-2.23,103.5,105.8
2008,Michigan,B10,+2.70,104.4,101.7,64.1,+9.46,107.9,98.5
2008,Sam Houston St.,Slnd,+2.70,96.5,93.8,67.6,-5.37,99.5,104.9
2008,Marshall,CUSA,+2.56,106.2,103.6,62.9,+1.62,103.6,102.0
2008,St. John's,BE,+2.44,98.6,96.2,63.9,+8.27,108.1,99.9
2008,Appalachian St.,SC,+2.41,105.8,103.4,65.3,-0.75,103.6,104.4
2008,Oakland,Sum,+2.39,111.7,109.3,67.1,-0.33,104.6,104.9
2008,Pacific,BW,+2.36,107.1,104.7,63.7,-4.38,101.2,105.6
2008,Robert Morris,NEC,+2.27,103.3,101.1,69.0,-7.01,99.5,106.5
2008,Green Bay,Horz,+2.02,107.1,105.1,65.4,+2.27,104.7,102.4
2008,Iowa,B10,+2.01,98.8,96.8,58.8,+4.88,106.3,101.4
2008,La Salle,A10,+1.93,107.4,105.5,68.9,+3.33,105.6,102.3
2008,Marist,MAAC,+1.92,106.3,104.4,63.3,-0.41,103.4,103.8
2008,Auburn,SEC,+1.92,109.8,107.8,65.1,+3.75,105.7,101.9
2008,American,Pat,+1.67,107.9,106.3,60.4,-4.23,99.9,104.1
2008,Richmond,A10,+1.48,101.4,99.9,61.5,+3.46,106.2,102.7
2008,Northern Arizona,BSky,+1.43,105.6,104.2,66.2,-4.70,101.6,106.3
2008,Northeastern,CAA,+1.42,103.2,101.7,61.4,+0.95,103.5,102.5
2008,Wichita St.,MVC,+1.41,104.3,102.8,60.5,+3.82,105.8,102.0
2008,Santa Clara,WCC,+1.34,100.9,99.6,59.7,-0.53,103.3,103.9
2008,Air Force,MWC,+1.18,100.9,99.7,56.3,+0.17,102.8,102.6
2008,Saint Louis,A10,+0.95,100.9,100.0,58.4,+4.19,106.4,102.2
2008,Chattanooga,SC,+0.89,102.4,101.5,72.0,+0.07,104.3,104.2
2008,Fordham,A10,+0.69,103.2,102.5,61.8,+5.01,106.6,101.6
2008,Lamar,Slnd,+0.56,108.1,107.6,69.9,-4.57,99.1,103.7
2008,Team,Conf,AdjEM,AdjO,AdjD,AdjT,AdjEM,OppO,OppD
2008,UC Irvine,BW,+0.48,104.2,103.8,62.8,-2.21,102.3,104.5
2008,UNC Wilmington,CAA,+0.35,108.2,107.9,66.5,-2.79,101.4,104.2
2008,Loyola MD,MAAC,+0.08,108.1,108.0,64.7,-3.03,101.9,104.9
2008,Tulane,CUSA,-0.13,102.1,102.2,63.5,+1.68,104.3,102.6
2008,Middle Tennessee,SB,-0.16,104.9,105.1,62.1,-0.54,104.6,105.1
2008,Charleston,SC,-0.21,106.7,106.9,65.8,-1.06,103.9,104.9
2008,Milwaukee,Horz,-0.26,100.7,100.9,67.0,+2.19,104.3,102.2
2008,Austin Peay,OVC,-0.30,104.6,104.9,65.5,-6.35,102.5,108.8
2008,Morgan St.,MEAC,-1.01,100.0,101.0,64.7,-9.48,98.3,107.7
