Year,Round,Region,Game,AFSeed,AFTeam,AFScore,AUSeed,AUTeam,AUScore,Fti,Uti,W_x,L_x,Pts_x,Opp_x,MOV_x,SOS_x,OSRS_x,DSRS_x,SRS_x,PASE_x,W_y,L_y,Pts_y,Opp_y,MOV_y,SOS_y,OSRS_y,DSRS_y,SRS_y,PASE_y
2008,2,NW,34,4,Washington St.,61,5,Notre Dame,41,7,5,26.0,9.0,66.4,56.4,10.0,6.35,0.1,16.25,16.35,-0.1875,25.0,8.0,79.0,69.6,9.42,7.03,13.12,3.03,16.15,0.1145833333333333
2008,2,NW,35,3,Louisville,78,6,Oklahoma,48,11,9,27.0,9.0,72.5,61.5,11.0,8.0,7.15,11.85,19.0,0.375,23.0,12.0,67.9,63.8,4.11,7.85,3.36,8.61,11.97,0.2135416666666666
2008,2,NW,36,2,Tennessee,76,7,Butler,71,15,13,31.0,5.0,81.8,70.0,11.86,7.84,15.69,2.73,18.41,-0.0909090909090909,30.0,4.0,68.8,58.4,10.41,2.64,2.38,10.63,13.0,1.0746527777777777
2008,2,SW,37,1,Kansas,75,8,UNLV,56,17,19,37.0,3.0,80.5,61.5,19.03,8.2,14.9,11.99,26.9,-0.0966796875,27.0,8.0,69.7,62.3,7.4,4.02,2.46,7.77,10.23,-0.59375
2008,2,SW,38,12,Villanova,84,13,Siena,72,22,24,22.0,13.0,72.8,69.5,3.31,7.69,6.92,4.08,11.0,0.3545673076923077,23.0,11.0,76.9,71.2,5.68,-1.62,5.61,-1.55,4.06,0.296875
2008,2,SW,39,3,Wisconsin,72,11,Kansas St.,55,27,26,31.0,5.0,67.3,54.4,12.86,6.73,2.83,16.76,19.59,0.2801339285714285,21.0,12.0,78.0,68.9,9.09,7.79,12.61,3.17,15.79,0.153125
2008,2,SW,40,2,Georgetown,70,10,Davidson,74,31,30,28.0,6.0,69.6,58.1,11.5,7.23,4.06,14.67,18.73,-1.0535714285714286,29.0,7.0,77.9,63.2,14.69,1.66,8.49,5.44,13.93,0.0807291666666666
2008,2,NE,41,1,Memphis,77,8,Mississippi St.,74,33,35,38.0,2.0,79.9,61.9,17.98,5.76,13.46,10.28,23.73,0.12109375,23.0,11.0,73.2,65.5,7.68,5.74,5.74,7.68,13.42,-0.44921875
2008,2,NE,42,4,Pittsburgh,54,5,Michigan St.,65,39,37,27.0,10.0,73.8,65.1,8.68,7.84,8.0,7.63,15.62,-0.37109375,27.0,9.0,71.2,62.6,8.64,7.68,7.0,9.32,16.32,0.68125
2008,2,NE,43,3,Stanford,82,6,Marquette,81,43,41,28.0,8.0,70.9,61.6,9.36,6.95,5.6,10.71,16.31,0.8203125,25.0,10.0,75.9,64.8,11.11,8.09,11.23,7.39,18.62,-0.2542613636363636
2008,2,NE,44,2,Texas,75,7,Miami FL,72,47,45,31.0,7.0,75.5,64.9,10.55,8.59,9.93,8.2,18.13,-0.3317307692307692,23.0,11.0,74.8,67.9,6.85,7.13,7.49,4.89,12.38,0.6026785714285714
2008,2,SE,45,1,UCLA,53,9,Texas A&M,49,49,52,35.0,4.0,73.5,59.0,14.54,7.71,8.6,13.1,21.71,0.73125,25.0,11.0,70.8,61.6,9.22,7.46,4.82,11.38,16.2,-0.048828125
2008,2,SE,46,12,Western Kentucky,72,13,San Diego,63,54,56,29.0,7.0,77.4,66.8,10.61,0.24,7.93,1.41,9.34,0.54375,22.0,14.0,65.7,63.8,1.92,1.45,-3.71,7.1,3.39,0.75
2008,2,SE,47,3,Xavier,85,6,Purdue,78,59,57,30.0,7.0,75.1,63.4,11.7,5.47,8.4,8.76,17.17,0.4453125,25.0,9.0,69.6,62.4,7.21,5.9,5.95,7.16,13.1,-0.4207589285714285
2008,2,SE,48,2,Duke,67,7,West Virginia,73,63,61,28.0,6.0,83.2,69.4,13.79,9.28,16.48,5.04,21.52,-0.0010416666666666,26.0,11.0,74.8,63.6,11.27,7.16,8.45,9.52,17.97,0.080965909090909
2008,3,NW,49,1,North Carolina,68,4,Washington St.,47,1,7,36.0,3.0,88.6,72.5,16.05,8.12,23.41,0.76,24.17,0.5479910714285714,26.0,9.0,66.4,56.4,10.0,6.35,0.1,16.25,16.35,-0.1875
2008,3,NW,50,2,Tennessee,60,3,Louisville,79,15,11,31.0,5.0,81.8,70.0,11.86,7.84,15.69,2.73,18.41,-0.0909090909090909,27.0,9.0,72.5,61.5,11.0,8.0,7.15,11.85,19.0,0.375
2008,3,SW,51,1,Kansas,72,12,Villanova,57,17,22,37.0,3.0,80.5,61.5,19.03,8.2,14.9,11.99,26.9,-0.0966796875,22.0,13.0,72.8,69.5,3.31,7.69,6.92,4.08,11.0,0.3545673076923077
2008,3,SW,52,3,Wisconsin,56,10,Davidson,73,27,30,31.0,5.0,67.3,54.4,12.86,6.73,2.83,16.76,19.59,0.2801339285714285,29.0,7.0,77.9,63.2,14.69,1.66,8.49,5.44,13.93,0.0807291666666666
2008,3,NE,53,1,Memphis,92,5,Michigan St.,74,33,37,38.0,2.0,79.9,61.9,17.98,5.76,13.46,10.28,23.73,0.12109375,27.0,9.0,71.2,62.6,8.64,7.68,7.0,9.32,16.32,0.68125
2008,3,NE,54,2,Texas,82,3,Stanford,62,47,43,31.0,7.0,75.5,64.9,10.55,8.59,9.93,8.2,18.13,-0.3317307692307692,28.0,8.0,70.9,61.6,9.36,6.95,5.6,10.71,16.31,0.8203125
2008,3,SE,55,1,UCLA,88,12,Western Kentucky,78,49,54,35.0,4.0,73.5,59.0,14.54,7.71,8.6,13.1,21.71,0.73125,29.0,7.0,77.4,66.8,10.61,0.24,7.93,1.41,9.34,0.54375
2008,3,SE,56,3,Xavier,79,7,West Virginia,75,59,61,30.0,7.0,75.1,63.4,11.7,5.47,8.4,8.76,17.17,0.4453125,26.0,11.0,74.8,63.6,11.27,7.16,8.45,9.52,17.97,0.080965909090909
2008,4,NW,57,1,North Carolina,83,3,Louisville,73,1,11,36.0,3.0,88.6,72.5,16.05,8.12,23.41,0.76,24.17,0.5479910714285714,27.0,9.0,72.5,61.5,11.0,8.0,7.15,11.85,19.0,0.375
2008,4,SW,58,1,Kansas,59,10,Davidson,57,17,30,37.0,3.0,80.5,61.5,19.03,8.2,14.9,11.99,26.9,-0.0966796875,29.0,7.0,77.9,63.2,14.69,1.66,8.49,5.44,13.93,0.0807291666666666
2008,4,NE,59,1,Memphis,85,2,Texas,67,33,47,38.0,2.0,79.9,61.9,17.98,5.76,13.46,10.28,23.73,0.12109375,31.0,7.0,75.5,64.9,10.55,8.59,9.93,8.2,18.13,-0.3317307692307692
2008,4,SE,60,1,UCLA,76,3,Xavier,57,49,59,35.0,4.0,73.5,59.0,14.54,7.71,8.6,13.1,21.71,0.73125,30.0,7.0,75.1,63.4,11.7,5.47,8.4,8.76,17.17,0.4453125
2008,5,F4,61,1,Kansas,84,1,North Carolina,66,17,1,37.0,3.0,80.5,61.5,19.03,8.2,14.9,11.99,26.9,-0.0966796875,36.0,3.0,88.6,72.5,16.05,8.12,23.41,0.76,24.17,0.5479910714285714
2008,5,F4,62,1,Memphis,78,1,UCLA,63,33,49,38.0,2.0,79.9,61.9,17.98,5.76,13.46,10.28,23.73,0.12109375,35.0,4.0,73.5,59.0,14.54,7.71,8.6,13.1,21.71,0.73125
2008,6,Champ,63,1,Kansas,75,1,Memphis,68,17,33,37.0,3.0,80.5,61.5,19.03,8.2,14.9,11.99,26.9,-0.0966796875,38.0,2.0,79.9,61.9,17.98,5.76,13.46,10.28,23.73,0.12109375
2009,0,PI,-1,16,Morehead St.,58,16,Alabama St.,43,2,65,20.0,16.0,69.8,67.0,2.78,-3.61,-2.83,-0.31,-3.14,0.375,22.0,10.0,68.8,63.3,5.53,-11.2,-5.83,-0.3,-6.13,
2009,1,NW,1,1,Louisville,74,16,Morehead St.,54,1,2,31.0,6.0,74.3,61.8,12.46,8.41,8.93,11.93,20.87,0.375,20.0,16.0,69.8,67.0,2.78,-3.61,-2.83,-0.31,-3.14,0.375
2009,1,NW,2,8,Ohio St.,72,9,Siena,74,3,4,22.0,11.0,66.8,62.0,4.85,8.23,4.13,8.35,12.48,-0.078125,27.0,8.0,77.4,70.3,7.06,0.99,10.28,-2.22,8.05,0.296875
2009,1,NW,3,5,Utah,71,12,Arizona,84,5,6,24.0,10.0,71.2,64.6,6.65,5.72,5.36,7.24,12.59,-0.3229166666666667,21.0,14.0,72.3,69.2,3.09,8.8,9.13,2.75,11.88,-0.1744791666666666
2009,1,NW,4,4,Wake Forest,69,13,Cleveland St.,84,7,8,24.0,7.0,81.0,70.7,10.23,7.36,14.58,1.06,15.63,-0.546875,26.0,11.0,66.4,59.5,6.81,2.12,-1.24,8.21,6.97,0.28125
2009,1,NW,5,6,West Virginia,60,11,Dayton,68,9,10,23.0,12.0,72.0,61.8,10.23,8.34,7.32,11.26,18.57,0.080965909090909,27.0,8.0,66.8,61.4,5.4,1.76,-0.85,8.0,7.16,0.1484375
2009,1,NW,6,3,Kansas,84,14,North Dakota St.,74,11,12,27.0,8.0,76.4,65.4,10.97,7.9,10.34,7.68,18.02,-0.0966796875,26.0,7.0,80.6,69.1,11.52,-2.72,9.61,-3.43,6.18,0.2890625
2009,1,NW,7,7,Boston College,55,10,USC,72,13,14,22.0,12.0,74.4,70.5,3.85,7.23,8.48,1.88,10.36,-0.890625,22.0,13.0,68.5,63.5,4.94,9.15,3.36,10.74,14.09,0.15625
2009,1,NW,8,2,Michigan St.,77,15,Robert Morris,62,15,16,31.0,7.0,72.0,63.7,8.34,9.37,9.33,8.39,17.71,0.68125,24.0,11.0,70.5,65.4,5.11,-5.23,-0.32,-0.38,-0.7,0.1979166666666666
2009,1,SW,9,1,Connecticut,103,16,Chattanooga,47,17,18,31.0,5.0,78.3,64.3,14.06,8.57,13.22,8.96,22.17,0.5171875,18.0,17.0,75.9,76.8,-0.86,-3.13,3.75,-10.0,-6.25,-0.265625
2009,1,SW,10,8,BYU,66,9,Texas A&M,79,19,20,25.0,8.0,77.1,65.2,11.94,4.15,11.73,3.39,15.12,-0.275390625,24.0,10.0,71.8,67.1,4.68,6.13,4.94,5.58,10.52,-0.048828125
2009,1,SW,11,5,Purdue,61,12,Northern Iowa,56,21,22,27.0,10.0,69.1,59.8,9.27,7.17,6.57,9.87,16.44,-0.4207589285714285,23.0,11.0,67.4,63.5,3.88,2.24,0.73,4.91,5.63,0.24609375
2009,1,SW,12,4,Washington,71,13,Mississippi St.,58,23,24,26.0,9.0,78.6,69.5,9.11,8.19,14.93,1.85,16.78,0.30078125,23.0,13.0,74.4,68.9,5.5,4.62,6.45,2.65,9.1,-0.44921875
2009,1,SW,13,6,Marquette,58,11,Utah St.,57,25,26,25.0,10.0,78.3,69.5,8.77,7.87,12.58,2.48,15.06,-0.2542613636363636,30.0,5.0,72.4,62.0,10.43,0.07,2.67,6.66,9.33,-0.6674107142857143
2009,1,SW,14,3,Missouri,78,14,Cornell,59,27,28,31.0,7.0,81.5,67.7,13.82,6.72,15.46,4.1,19.56,-0.380859375,21.0,10.0,73.6,64.7,8.84,-4.01,3.6,-0.9,2.71,0.421875
2009,1,SW,15,7,California,71,10,Maryland,84,29,30,22.0,11.0,74.9,68.8,6.09,7.21,11.18,2.12,13.3,-0.40625,21.0,14.0,71.8,69.1,2.66,8.99,6.63,4.48,11.1,0.09375
2009,1,SW,16,2,Memphis,81,15,Cal St. Northridge,70,31,32,33.0,4.0,75.1,58.8,16.3,4.63,8.53,12.4,20.92,0.12109375,17.0,14.0,73.6,70.3,3.35,-0.14,6.41,-3.76,2.65,-0.1875
2009,1,NE,17,1,Pittsburgh,72,16,East Tennessee St.,62,33,34,31.0,5.0,77.4,64.4,12.97,8.61,12.17,9.04,21.21,-0.37109375,23.0,11.0,78.1,70.1,8.06,-1.87,6.16,-2.95,3.21,-0.1041666666666666
2009,1,NE,18,8,Oklahoma St.,77,9,Tennessee,75,35,36,23.0,12.0,80.9,74.5,6.34,7.44,14.62,-0.84,13.78,-0.5647321428571429,21.0,13.0,78.4,72.5,5.88,7.71,11.93,1.67,13.6,-0.0909090909090909
2009,1,NE,19,5,Florida St.,59,12,Wisconsin,61,37,38,25.0,10.0,68.3,64.9,3.46,7.91,2.53,8.84,11.37,0.1953125,20.0,13.0,63.8,59.0,4.79,8.43,0.85,11.58,12.43,0.2801339285714285
2009,1,NE,20,4,Xavier,77,13,Portland St.,59,39,40,27.0,8.0,71.7,61.9,9.8,4.65,6.01,8.44,14.45,0.4453125,23.0,10.0,73.2,68.5,4.7,-3.16,3.32,-2.18,1.14,-0.140625
2009,1,NE,21,6,UCLA,65,11,VCU,64,41,42,26.0,9.0,75.5,64.0,11.46,7.19,11.55,7.1,18.64,0.73125,24.0,10.0,71.8,63.4,8.35,-0.65,4.23,3.48,7.7,-0.0071022727272727
2009,1,NE,22,3,Villanova,80,14,American,67,43,44,30.0,8.0,76.8,67.4,9.45,8.72,10.87,6.59,17.45,0.3545673076923077,24.0,8.0,64.5,59.1,5.44,-5.49,-4.88,4.83,-0.05,-0.1614583333333333
2009,1,NE,23,7,Texas,76,10,Minnesota,62,45,46,23.0,12.0,72.3,65.6,6.74,8.09,6.31,8.52,14.83,-0.3317307692307692,22.0,11.0,66.3,61.6,4.76,7.19,3.39,7.93,11.32,-0.359375
2009,1,NE,24,2,Duke,86,15,Binghamton,62,47,48,30.0,7.0,77.5,65.9,11.57,9.07,11.97,8.12,20.1,-0.0010416666666666,23.0,9.0,70.0,67.4,2.59,-5.62,-0.42,-2.85,-3.27,-0.1875
2009,1,SE,25,1,North Carolina,101,16,Radford,58,49,50,34.0,4.0,89.8,72.0,17.84,8.35,23.85,1.6,25.46,0.5479910714285714,21.0,12.0,75.5,71.9,3.61,-4.37,1.05,-5.6,-4.55,0.46875
2009,1,SE,26,8,LSU,75,9,Butler,71,51,52,27.0,8.0,74.8,66.2,8.6,3.27,6.87,5.0,11.87,-0.115625,26.0,6.0,67.8,57.9,9.81,2.07,1.93,8.13,10.07,1.0746527777777777
2009,1,SE,27,5,Illinois,72,12,Western Kentucky,76,53,54,24.0,10.0,64.8,57.2,7.65,6.73,1.32,13.06,14.38,-0.78125,25.0,9.0,72.2,67.0,5.18,-1.23,4.09,-0.41,3.68,0.54375
2009,1,SE,28,4,Gonzaga,77,13,Akron,64,55,56,28.0,6.0,78.9,63.0,15.94,3.55,12.22,5.74,17.95,0.26953125,23.0,13.0,66.8,60.3,6.44,-2.01,-1.16,4.52,3.37,-0.2625
2009,1,SE,29,6,Arizona St.,66,11,Temple,57,57,58,25.0,10.0,69.4,60.5,8.89,7.82,4.72,11.98,16.7,0.03515625,22.0,12.0,68.6,63.5,5.15,3.9,1.28,7.77,9.05,-0.5044642857142857
2009,1,SE,30,3,Syracuse,59,14,Stephen F. Austin,44,59,60,28.0,10.0,80.2,71.7,8.45,9.48,16.69,0.54,17.24,0.6203125,24.0,8.0,65.6,56.1,9.5,-3.21,-8.35,9.45,1.1,0.128125
2009,1,SE,31,7,Clemson,59,10,Michigan,62,61,62,23.0,9.0,78.3,68.0,10.31,6.59,12.43,3.13,15.56,-0.4330357142857143,21.0,14.0,66.9,63.2,3.66,9.74,4.72,7.18,11.9,0.8522727272727273
2009,1,SE,32,2,Oklahoma,82,15,Morgan St.,54,63,64,30.0,6.0,78.7,67.5,11.19,6.88,12.69,5.38,18.07,0.2135416666666666,23.0,12.0,66.7,62.3,4.31,-6.53,-4.34,2.05,-2.29,-0.1875
2009,2,NW,33,1,Louisville,79,9,Siena,72,1,4,31.0,6.0,74.3,61.8,12.46,8.41,8.93,11.93,20.87,0.375,27.0,8.0,77.4,70.3,7.06,0.99,10.28,-2.22,8.05,0.296875
2009,2,NW,34,12,Arizona,71,13,Cleveland St.,57,6,8,21.0,14.0,72.3,69.2,3.09,8.8,9.13,2.75,11.88,-0.1744791666666666,26.0,11.0,66.4,59.5,6.81,2.12,-1.24,8.21,6.97,0.28125
2009,2,NW,35,3,Kansas,60,11,Dayton,43,11,10,27.0,8.0,76.4,65.4,10.97,7.9,10.34,7.68,18.02,-0.0966796875,27.0,8.0,66.8,61.4,5.4,1.76,-0.85,8.0,7.16,0.1484375
2009,2,NW,36,2,Michigan St.,74,10,USC,69,15,14,31.0,7.0,72.0,63.7,8.34,9.37,9.33,8.39,17.71,0.68125,22.0,13.0,68.5,63.5,4.94,9.15,3.36,10.74,14.09,0.15625
2009,2,SW,37,1,Connecticut,92,9,Texas A&M,66,17,20,31.0,5.0,78.3,64.3,14.06,8.57,13.22,8.96,22.17,0.5171875,24.0,10.0,71.8,67.1,4.68,6.13,4.94,5.58,10.52,-0.048828125
